"日足・最新の選択","当日"," 8月26日","日足"
"市場","銘柄コード","銘柄名","始値","高値","安値","終値","出来高","","","","","","","","","","","","","","",""
"","","","実","実","実","実","        実","","","","","","","","","","","","","","",""
東１,2201,森永菓,625.0,635.0,612.0,623.0,2098000,,,,,,,,,,,,,,,
東１,2204,中村屋,446.0,450.0,441.0,444.0,75000,,,,,,,,,,,,,,,
東１,2206,グリコ,5850.0,6040.0,5790.0,6000.0,429700,,,,,,,,,,,,,,,
東１,2207,名糖産,1321.0,1325.0,1295.0,1318.0,12300,,,,,,,,,,,,,,,
東２,2208,ブルボン,1581.0,1600.0,1581.0,1600.0,5000,,,,,,,,,,,,,,,
東２,2209,井村屋Ｇ,636.0,656.0,636.0,646.0,3000,,,,,,,,,,,,,,,
東１,2211,不二家,189.0,191.0,189.0,190.0,258000,,,,,,,,,,,,,,,
東１,2212,山崎パン,1881.0,1942.0,1880.0,1927.0,1203000,,,,,,,,,,,,,,,
東１,2215,第一パン,106.0,111.0,106.0,109.0,146000,,,,,,,,,,,,,,,
東２,2216,カンロ,455.0,455.0,455.0,455.0,2000,,,,,,,,,,,,,,,
東１,2217,モロゾフ,415.0,421.0,406.0,411.0,52000,,,,,,,,,,,,,,,
東１,2220,亀田製,4580.0,4720.0,4550.0,4680.0,51500,,,,,,,,,,,,,,,
ＪＱ,2221,岩塚菓,6420.0,6500.0,6300.0,6350.0,14300,,,,,,,,,,,,,,,
東１,2222,寿スピリッツ,3545.0,3580.0,3435.0,3565.0,26900,,,,,,,,,,,,,,,
ＪＱ,2224,コモ,2201.0,2285.0,2201.0,2285.0,5200,,,,,,,,,,,,,,,
ＪＱ,2226,フレンテ,2701.0,2829.0,2701.0,2800.0,2000,,,,,,,,,,,,,,,
ＪＱ,2228,シベール,3000.0,3095.0,3000.0,3095.0,10400,,,,,,,,,,,,,,,
東１,2229,カルビー,4340.0,4460.0,4335.0,4405.0,916400,,,,,,,,,,,,,,,
東１,2264,森永乳,554.0,564.0,548.0,554.0,957000,,,,,,,,,,,,,,,
東１,2266,六甲バタ,1510.0,1544.0,1480.0,1536.0,44500,,,,,,,,,,,,,,,
